1_0	0.0051534175872802734	0.004047870635986328
1_1	0.0053288936614990234	0.0050694942474365234
1_2	0.005390644073486328	0.003956794738769531
1_3	0.005125284194946289	0.0040090084075927734
1_4	0.005777597427368164	0.0038673877716064453
1_5	0.003620147705078125	0.003377199172973633
1_6	0.0050678253173828125	0.0051038265228271484
1_7	0.003973722457885742	0.006118059158325195
1_8	0.0042476654052734375	0.004645109176635742
1_9	0.0043087005615234375	0.004763126373291016
1_10	0.004590749740600586	0.005236625671386719
2_0	0.005082368850708008	0.005193471908569336
2_1	0.005235910415649414	0.0034232139587402344
2_2	0.005301713943481445	0.005357027053833008
2_3	0.005942344665527344	0.005194187164306641
2_4	0.006259918212890625	0.004311561584472656
2_5	0.00506901741027832	0.00535130500793457
2_6	0.006742000579833984	0.004018545150756836
2_7	0.0051958560943603516	0.004374504089355469
2_8	0.005242824554443359	0.00499415397644043
2_9	0.005112409591674805	0.004170894622802734
2_10	0.008372306823730469	0.004223346710205078
3_0	0.02071094512939453	0.02012491226196289
3_1	0.021222591400146484	0.024539470672607422
3_2	0.025506019592285156	0.02598881721496582
3_3	0.027751922607421875	0.0196990966796875
3_4	0.02514052391052246	0.023830175399780273
3_5	0.022253990173339844	0.022281646728515625
3_6	0.01972365379333496	0.02959156036376953
3_7	0.019959688186645508	0.021709203720092773
3_8	0.023183107376098633	0.02472710609436035
3_9	0.020799875259399414	0.029151201248168945
3_10	-1.0	0.022403240203857422
4_0	0.004869937896728516	0.00558924674987793
4_1	0.004890918731689453	0.00477147102355957
4_2	0.004383087158203125	0.004541873931884766
4_3	0.004209280014038086	0.003016233444213867
4_4	0.0044553279876708984	0.003989696502685547
4_5	0.004477739334106445	0.004704952239990234
4_6	0.007613420486450195	0.004704713821411133
5_0	-1.0	0.02099466323852539
5_1	-1.0	0.028150320053100586
5_2	-1.0	0.02417302131652832
5_3	-1.0	0.021221399307250977
5_4	-1.0	0.025263309478759766
5_5	0.00508427619934082	0.026080846786499023
5_6	0.00042700767517089844	0.032462120056152344
5_7	-1.0	0.025447607040405273
6_0	8.606910705566406e-05	8.106231689453125e-05
6_1	7.867813110351562e-05	8.630752563476562e-05
6_2	8.320808410644531e-05	6.961822509765625e-05
6_3	0.00010514259338378906	7.104873657226562e-05
6_4	0.00020575523376464844	8.988380432128906e-05
6_5	0.00010919570922851562	9.822845458984375e-05
6_6	9.942054748535156e-05	9.560585021972656e-05
6_7	0.000102996826171875	0.00011873245239257812
6_8	0.00011658668518066406	9.202957153320312e-05
6_9	7.271766662597656e-05	8.082389831542969e-05
6_10	8.487701416015625e-05	9.298324584960938e-05
6_11	0.004268646240234375	8.106231689453125e-05
6_12	0.002988100051879883	9.083747863769531e-05
7_0	0.003975391387939453	0.0032796859741210938
7_1	0.0037496089935302734	0.003801584243774414
7_2	0.004206418991088867	0.0033664703369140625
7_3	0.00508427619934082	0.0037775039672851562
7_4	0.003808736801147461	0.004060983657836914
7_5	0.004054546356201172	0.00457453727722168
7_6	0.026497364044189453	0.003377199172973633
7_7	0.004469871520996094	0.005048036575317383
7_8	0.005207538604736328	0.0025098323822021484
7_9	0.004000425338745117	0.0036559104919433594
7_10	0.0034987926483154297	0.003847837448120117
7_11	0.0043182373046875	0.0030333995819091797
7_12	0.00295257568359375	0.0028204917907714844
8_0	0.01992964744567871	0.02122211456298828
8_1	0.019762754440307617	0.022022008895874023
8_2	0.02945566177368164	0.02527618408203125
8_3	0.00013709068298339844	0.03030085563659668
9_0	0.0001537799835205078	0.0001785755157470703
9_1	8.058547973632812e-05	0.00015234947204589844
9_2	0.00011110305786132812	8.58306884765625e-05
